ID,Genotype
024323-S,UNL074
024324-C,UNL074
0026399-S,UNL075
0026400-C,UNL075
25951,UNL075
25952,UNL075
024197-S,UNL075
024198-C,UNL075
0026537-S,UNL076
0026538-C,UNL076
25719,UNL076
25720,UNL076
023583-S,UNL076
023584-C,UNL076
023973-S,UNL076
023974-C,UNL076
0027152-S,UNL077
0027153-C,UNL077
26301,UNL077
26302,UNL077
024013-C,UNL077
024014-S,UNL077
0027096-C,UNL078
0027097-S,UNL078
25594,UNL078
25595,UNL078
023749-C,UNL078
023750-S,UNL078
0027084-S,UNL079
0027085-C,UNL079
25794,UNL079
25795,UNL079
024289-C,UNL079
024290-S,UNL079
0026872-S,UNL080
0026873-C,UNL080
25838,UNL080
25839,UNL080
023703-S,UNL080
023704-C,UNL080
0026454-S,UNL081
0026455-C,UNL081
26327,UNL081
26328,UNL081
023783-C,UNL081
023784-S,UNL081
0026815-S,UNL082
0026816-C,UNL082
25503,UNL082
25504,UNL082
023617-S,UNL082
023618-C,UNL082
0027039-S,UNL083
0027040-C,UNL083
26024,UNL083
26025,UNL083
023637-S,UNL083
023638-C,UNL083
0026391-S,UNL084
0026392-C,UNL084
26189,UNL084
26190,UNL084
023569-C,UNL084
023570-S,UNL084
024363-S,UNL084
024364-C,UNL084
0027134-C,UNL085
0027135-S,UNL085
25629,UNL085
25630,UNL085
023799-S,UNL085
023800-C,UNL085
024189-C,UNL085
024190-S,UNL085
0026989-S,UNL086
0026990-C,UNL086
25604,UNL086
25605,UNL086
024219-C,UNL086
024220-S,UNL086
0026712-S,UNL087
0026713-C,UNL087
25836,UNL087
25837,UNL087
023571-S,UNL087
023572-C,UNL087
024299-S,UNL087
024300-C,UNL087
0026361-S,UNL089
0026362-C,UNL089
25527,UNL089
25528,UNL089
023625-C,UNL089
023626-S,UNL089
023977-S,UNL089
023978-C,UNL089
0026763-S,UNL090
0026764-C,UNL090
25921,UNL090
25922,UNL090
023743-S,UNL090
023744-C,UNL090
024005-S,UNL090
024006-C,UNL090
0026379-C,UNL091
0026380-S,UNL091
25566,UNL091
25567,UNL091
024379-C,UNL091
024380-S,UNL091
0026373-C,UNL092
0026374-S,UNL092
25560,UNL092
25561,UNL092
023621-C,UNL092
023622-S,UNL092
024039-C,UNL092
024040-S,UNL092
0026686-S,UNL093
0026687-C,UNL093
25861,UNL093
25862,UNL093
024203-S,UNL093
024204-C,UNL093
0026957-C,UNL094
0026958-S,UNL094
25743,UNL094
25744,UNL094
023589-S,UNL094
023590-C,UNL094
024143-S,UNL094
024144-C,UNL094
0026773-S,UNL095
0026774-C,UNL095
25541,UNL095
25542,UNL095
023585-C,UNL095
023586-S,UNL095
024245-C,UNL095
024246-S,UNL095
0026615-S,UNL096
0026616-C,UNL096
26248,UNL096
26249,UNL096
023817-C,UNL096
023818-S,UNL096
024283-C,UNL096
024284-S,UNL096
0027092-S,UNL097
0027093-C,UNL097
25965,UNL097
25966,UNL097
023579-S,UNL097
023580-C,UNL097
0027157-S,UNL098
0027158-C,UNL098
25725,UNL098
25726,UNL098
024235-C,UNL098
024236-S,UNL098
0027104-S,UNL099
0027105-C,UNL099
26329,UNL099
26330,UNL099
024071-C,UNL099
024072-S,UNL099
0026704-S,UNL100
0026705-C,UNL100
25481,UNL100
25482,UNL100
024395-C,UNL100
024396-S,UNL100
0026849-S,UNL101
0026850-C,UNL101
26054,UNL101
26055,UNL101
023841-S,UNL101
023842-C,UNL101
024085-C,UNL101
024086-S,UNL101
0026639-S,UNL102
0026640-C,UNL102
25953,UNL102
25954,UNL102
024073-C,UNL102
024074-S,UNL102
0026793-C,UNL103
0026794-S,UNL103
26117,UNL103
26118,UNL103
024009-C,UNL103
024010-S,UNL103
0026523-S,UNL104
0026524-C,UNL104
25487,UNL104
25488,UNL104
024259-S,UNL104
024260-C,UNL104
0026650-C,UNL105
0026651-S,UNL105
26065,UNL105
26066,UNL105
024169-S,UNL105
024170-C,UNL105
0026807-S,UNL106
0026808-C,UNL106
26026,UNL106
26027,UNL106
024391-C,UNL106
024392-S,UNL106
